inputobjs_input_id,inputobjs_input_ra,inputobjs_input_dec,inputobjs_dist,catalogue_obsid,catalogue_obsdate,catalogue_lmjd,catalogue_mjd,catalogue_planid,catalogue_spid,catalogue_fiberid,catalogue_class,catalogue_subclass,catalogue_z,catalogue_mag1,catalogue_mag2,catalogue_mag3,catalogue_mag4,catalogue_mag5,catalogue_ra,catalogue_dec,stellar_teff,stellar_logg,stellar_feh,stellar_rv
863,163.383157,0.783738,0.104693857147624053,438214140,2016-03-11,57459,57458,HD110103N000249M01,14,140,Unknown,Non,-9999.0000000000,19.53,99.00,99.00,99.00,99.00,163.3831800000,0.7837202000,,,,
1038,150.173039,1.148935,0.0218936615486166677,290612088,2015-01-02,57025,57024,HD095639S002741B01,12,88,STAR,F7,0.0002253900,15.93,15.45,15.18,99.00,99.00,150.1730330000,1.1489360000,,,,
568,153.598342,-0.077702,0.00179999897800066388,319616103,2015-02-16,57070,57069,HD101607S013552M01,16,103,GALAXY,Non,0.2073940000,21.03,18.97,17.61,17.12,16.74,153.5983424000,-0.0777017000,,,,
34,162.099818,-0.884227,0.00209895891982236947,437515023,2016-03-10,57458,57457,HD104840S015732M01,15,23,GALAXY,Non,0.2252590000,19.60,18.46,17.53,17.11,16.76,162.0998175000,-0.8842267000,,,,
874,184.223411,-1.324232,0.19216214855197461,219811200,2014-03-02,56719,56718,HD121616S031407M,11,200,QSO,Non,0.6554820000,19.02,18.66,18.74,18.65,18.61,184.2233600000,-1.3242162000,,,,
361,221.311392,-0.739079,0.00804930896436583526,42404175,2012-02-18,55976,55975,F5597606,4,175,STAR,G2,-0.0000754300,18.62,17.56,17.10,16.89,16.82,221.3113900000,-0.7390780000,,,,
115,235.677531,0.585050,0.0139094674649678594,133716200,2013-03-09,56361,56360,HD154852S010004M01,16,200,STAR,A6V,-0.0004014200,16.30,15.06,14.84,14.78,14.79,235.6775272000,0.5850507000,,,,
44,220.337675,-0.759540,0.00160994062235652637,441416106,2016-03-19,57467,57466,HD144346S023019B02,16,106,GALAXY,Non,0.0800546000,17.88,16.70,16.10,15.64,15.44,220.3376748000,-0.7595396000,,,,
960,225.059764,0.463676,0.00113838645293825214,232602055,2014-04-04,56752,56751,HD150254N020528B01,2,55,GALAXY,Non,0.0973057000,19.35,17.24,16.21,15.77,15.42,225.0597643000,0.4636761000,,,,
602,200.675987,0.025726,0.00113841991942827364,436716213,2016-03-08,57456,57455,HD132914S012151M01,16,213,Unknown,Non,-9999.0000000000,19.83,17.89,16.92,16.50,16.17,200.6759873000,0.0257259000,,,,
43,40.272927,0.606064,0.192008142479203364,21105021,2011-12-25,55921,55920,F5592102,5,21,GALAXY,Non,0.2179890000,21.32,18.98,17.66,17.14,16.83,40.2729800000,0.6060700000,,,,
1473,161.598800,-0.550141,0.00101821027615845447,205115162,2014-01-09,56667,56666,HD104840S015732B,15,162,GALAXY,Non,0.0765626000,19.55,17.68,16.70,16.32,16.02,161.5988002000,-0.5501412000,,,,
149,187.973981,0.184403,0,94207203,2012-12-23,56285,56284,HD122600N020231M01,7,203,STAR,F0,0.0001808600,15.29,15.07,15.01,14.99,99.00,187.9739810000,0.1844030000,,,,
184,152.753857,0.344292,0.0384941861000352298,134816035,2013-03-13,56365,56364,HD101607S013552F01,16,35,Unknown,Non,-9999.0000000000,18.66,18.58,18.59,18.42,18.43,152.7538667000,0.3442875000,,,,
1393,198.087249,0.116957,0.0113841972060855327,26816163,2012-01-05,55932,55931,F5593201,16,163,STAR,K5,-0.0041358900,20.63,18.85,17.54,16.99,16.61,198.0872500000,0.1169600000,,,,
750,174.469763,-0.625061,0.0684906066820339526,46513063,2012-03-12,55999,55998,F5599904,13,63,STAR,G2,0.0002967800,17.78,16.04,15.31,15.01,14.86,174.4697440000,-0.6250620000,,,,
741,150.520953,0.655135,0.0501393423586511122,7814078,2011-11-24,55890,55889,F9008,14,78,Unknown,Non,-9999.0000000000,19.91,18.30,17.52,17.16,16.83,150.5209400000,0.6551400000,,,,
101,152.640765,-0.186119,0.00129799375975190451,319616082,2015-02-16,57070,57069,HD101607S013552M01,16,82,GALAXY,Non,0.1483040000,19.83,18.51,17.65,17.18,16.83,152.6407653000,-0.1861188000,,,,
531,183.456200,0.911031,0.153142471540282904,435609142,2016-03-06,57454,57453,HD120800N003716B02,9,142,Unknown,Non,-9999.0000000000,16.98,16.67,16.53,99.00,99.00,183.4562390000,0.9110480000,,,,
827,155.751161,-0.059962,0.000509116735618875597,436602100,2016-03-08,57456,57455,HD102942N012928M01,2,100,Unknown,Non,-9999.0000000000,19.25,18.13,17.58,17.28,17.11,155.7511609000,-0.0599619000,,,,
5,200.479802,-0.542132,0.00209907354474385974,436714133,2016-03-08,57456,57455,HD132914S012151M01,14,133,GALAXY,Non,0.1729900000,20.39,18.66,17.51,17.02,16.68,200.4798015000,-0.5421323000,,,,
202,197.299032,0.275832,0.0720891105381292613,26816018,2012-01-05,55932,55931,F5593201,16,18,STAR,G3,0.0000554500,19.16,17.87,17.38,17.22,17.15,197.2990120000,0.2758310000,,,,
55,184.030619,-2.238254,0.145590257076963187,219815024,2014-03-02,56719,56718,HD121616S031407M,15,24,GALAXY,Non,0.1004650000,10.00,10.00,15.88,15.45,10.00,184.0306500000,-2.2382800000,,,,
746,204.204628,-0.349260,0.0133246166649278099,141410036,2013-04-06,56389,56388,HD134427N004207M01,10,36,QSO,Non,0.2959720000,17.99,18.06,18.04,18.05,17.61,204.2046243000,-0.3492599000,,,,
746,204.204628,-0.349260,0.0676520330663635261,141310036,2013-04-06,56389,56388,HD134427N004207F01,10,36,QSO,Non,0.2962710000,18.46,18.45,18.40,18.34,17.82,204.2046100000,-0.3492654000,,,,
1076,189.097473,-1.446022,0.0012977122776737602,231509126,2014-04-01,56749,56748,HD123204S014620M01,9,126,Unknown,Non,-9999.0000000000,18.10,17.06,16.71,16.60,16.56,189.0974733000,-1.4460222000,,,,
863,163.383157,0.783738,0.0129791439554102304,21305012,2011-12-25,55921,55920,F5592105,5,12,QSO,Non,1.4717600000,19.29,19.16,19.07,18.98,19.21,163.3831600000,0.7837400000,,,,
897,184.287332,0.056721,0.00107999999996100538,200606130,2013-12-29,56656,56655,HD120800N003716M01,6,130,GALAXY,Non,0.0754412000,20.22,18.24,17.29,16.88,16.57,184.2873320000,0.0567213000,,,,
528,184.730776,-3.625480,0.0618546926316854082,219808228,2014-03-02,56719,56718,HD121616S031407M,8,228,QSO,Non,0.9512380000,10.00,10.00,17.62,17.64,10.00,184.7307900000,-3.6254700000,,,,
763,220.949685,-0.805567,0.0445292818495737971,441411240,2016-03-19,57467,57466,HD144346S023019B02,11,240,Unknown,Non,-9999.0000000000,17.56,16.78,16.42,99.00,99.00,220.9496820000,-0.8055550000,,,,
166,196.966916,-1.708465,0.00113796448433919049,327507170,2015-03-01,57083,57082,HD130444N001742B01,7,170,STAR,G3,0.0000288500,18.66,17.51,16.70,16.88,16.76,196.9669163000,-1.7084649000,,,,
1011,160.433952,-0.608481,0.0391870458110005274,437516012,2016-03-10,57458,57457,HD104840S015732M01,16,12,GALAXY,Non,0.1322210000,19.13,99.00,99.00,99.00,99.00,160.4339500000,-0.6084917000,,,,
13,163.864576,-0.471311,0.0334640409162489175,437512122,2016-03-10,57458,57457,HD104840S015732M01,12,122,QSO,Non,1.3552900000,19.49,99.00,99.00,99.00,99.00,163.8645700000,-0.4713039000,,,,
1485,150.705757,1.176370,0.0437869090733993827,445701046,2016-03-25,57473,57472,HD100408N031203B01,1,46,Unknown,Non,-9999.0000000000,16.47,15.80,15.45,99.00,99.00,150.7057690000,1.1763720000,,,,
746,204.204628,-0.349260,0.0676520330663635261,436713193,2016-03-08,57456,57455,HD132914S012151M01,13,193,QSO,Non,0.2981080000,18.40,99.00,99.00,99.00,99.00,204.2046100000,-0.3492654000,,,,
1498,160.747811,-0.055558,0.000804984071196105668,437516031,2016-03-10,57458,57457,HD104840S015732M01,16,31,GALAXY,Non,0.1279630000,20.57,18.52,17.45,16.96,16.55,160.7478112000,-0.0555579000,,,,
1376,232.041751,54.379568,0.00110016401635551443,426703233,2016-02-19,57438,57437,HD153557N543750B02,3,233,GALAXY,Non,0.0746309000,18.48,17.25,16.62,16.24,16.00,232.0417509000,54.3795677000,,,,
105,169.103576,-1.343378,0.237429448314194574,418101232,2016-01-31,57419,57418,KP111915N004324B01,1,232,STAR,F6,0.0007359700,16.55,16.16,16.06,99.00,99.00,169.1035120000,-1.3433940000,,,,
463,25.410665,13.417050,0.000502217235137457363,396612098,2015-12-29,57386,57385,EG013740N120442B01,12,98,STAR,F9,-0.0001602200,16.38,15.04,14.56,14.39,14.33,25.4106651000,13.4170499000,,,,
765,195.242242,1.097673,0.0818109131194336286,144115067,2013-04-12,56395,56394,HD130444N001742F01,15,67,QSO,Non,1.9168800000,20.33,19.83,19.62,19.36,19.32,195.2422300000,1.0976923000,,,,
1356,155.775335,-0.200854,0.00129799596933358814,315412103,2015-02-08,57062,57061,HD101607S013552B01,12,103,GALAXY,Non,0.0956433000,19.44,17.37,16.34,15.88,15.48,155.7753352000,-0.2008543000,,,,
1266,28.784353,14.171223,0.584375551793414605,62016203,2012-10-07,56208,56207,EG020224N124106B01,16,203,Unknown,Non,-9999.0000000000,25.49,20.22,19.62,19.42,19.25,28.7841886000,14.1712537000,,,,
101,152.640765,-0.186119,0.054119582714612792,7809023,2011-11-24,55890,55889,F9008,9,23,GALAXY,Non,0.1481260000,19.67,18.39,17.56,17.12,16.78,152.6407800000,-0.1861200000,,,,
1356,155.775335,-0.200854,0.00129799596933358814,229902095,2014-03-25,56742,56741,HD102942N012928B01,2,95,GALAXY,Non,0.0927610000,19.44,17.37,16.34,15.88,15.48,155.7753352000,-0.2008543000,,,,
1087,200.451227,-0.496220,0.0439430581892292157,26813171,2012-01-05,55932,55931,F5593201,13,171,GALAXY,Non,0.1764450000,19.79,18.53,17.65,17.20,16.93,200.4512200000,-0.4962100000,,,,
841,196.803753,0.014988,0.133394448073175187,327508230,2015-03-01,57083,57082,HD130444N001742B01,8,230,STAR,F0,0.0003126400,17.02,16.75,16.65,99.00,99.00,196.8037900000,0.0149860000,,,,
1110,58.016652,0.036789,0.00129799836778058211,382408026,2015-11-09,57336,57335,EG034838N001340M01,8,26,GALAXY,Non,0.0822748000,20.38,18.36,17.27,16.75,16.33,58.0166518000,0.0367887000,,,,
184,152.753857,0.344292,0.012979822324705138,7809029,2011-11-24,55890,55889,F9008,9,29,QSO,Non,1.7339700000,18.66,18.58,18.59,18.42,18.43,152.7538600000,0.3442900000,,,,
782,145.132747,-0.478697,0.0831415362507582079,407511219,2016-01-14,57402,57401,HD093904S025022M01,11,219,QSO,Non,0.1530780000,19.04,99.00,99.00,99.00,99.00,145.1327700000,-0.4786949000,,,,
805,158.198549,-0.204757,0.000804980343132662103,229907024,2014-03-25,56742,56741,HD102942N012928B01,7,24,GALAXY,Non,0.0340129000,17.78,16.23,15.50,15.08,14.74,158.1985492000,-0.2047571000,,,,
818,162.543704,-0.966658,0.000804892807280609417,437515134,2016-03-10,57458,57457,HD104840S015732M01,15,134,GALAXY,Non,0.1067910000,20.05,18.11,17.10,16.64,16.27,162.5437042000,-0.9666581000,,,,
1142,197.633274,0.036609,0.0148431773607548799,26816100,2012-01-05,55932,55931,F5593201,16,100,GALAXY,Non,0.1789000000,18.70,18.06,17.76,17.41,17.46,197.6332700000,0.0366100000,,,,
371,124.157766,45.584886,0.00123856116906748549,401608222,2016-01-06,57394,57393,HD081205N465629M01,8,222,GALAXY,Non,0.1426800000,19.99,18.54,17.72,17.31,17.00,124.1577656000,45.5848862000,,,,
133,229.029790,-0.262194,0.0144000000568920549,48404012,2012-03-26,56013,56012,F5601307,4,12,QSO,Non,2.0642200000,19.13,18.80,18.56,18.31,18.43,229.0297900000,-0.2621900000,,,,
132,241.878345,0.092172,0.0188991206276485878,451416027,2016-04-08,57487,57486,HD161245S014318M01,16,27,QSO,Non,0.3955090000,19.44,99.00,99.00,99.00,99.00,241.8783500000,0.0921704000,,,,
48,147.779292,0.226291,0.0433495912822158339,41909028,2012-02-16,55974,55973,F5597403,9,28,GALAXY,Non,0.0742071000,18.66,17.86,17.62,17.36,17.35,147.7793000000,0.2263000000,,,,
202,197.299032,0.275832,0.00148430180346833304,144108080,2013-04-12,56395,56394,HD130444N001742F01,8,80,Unknown,Non,-9999.0000000000,19.15,17.87,17.39,17.21,17.14,197.2990316000,0.2758321000,,,,
